# Version = v1.4.2 (~Lv.10)
# Last updated = 2025-09-04

# Item | Minimum Lvl. | Decks | Star Level Production Rates

## Workplace = Kitchen
## card_list = ["Heat Control","Cut","Season","Slow Cook","Ferment","Bake"]
Toast | [] | [4,0,0,1,0]
## card_list = ["Ingredients","Grind","Distill","Enchant","Fuse","Overload"]
Growth Serum | [] | [0,0,1,2]
Calming Bouquet | [3] | [3,0,1,2] | [28, 11, 17, 27, 17]

Warmdust | [-1] | [4, 0, 1, 2, 0] | [69, 17, 15, 0, 0]
# Calming Warmdust | [3,2,1,1,1] | [3, 1, 1, 2, 0] | [83.2, 11.7, 5.1, 0.0, 0.0]
Calming Warmdust | [-1,3] | [3, 1, 1, 2, 0] | [80.9, 13.3, 5.7, 0.0, 0.0]

Warming Incense | [-1,-1,-1,2,1] | [3, 0, 1, 2, 0] | [70, 5, 17, 7, 2]
#Warming Incense | [3,4,-1,3,-1] | [3, 0, 1, 2, 0] | [37, 10, 25, 17, 12]
#Warming Incense | [4,4,1,2,1] | [3, 0, 1, 2, 0] | [40, 8, 15, 13, 23]
Warming Incense | [4,4,-1,3,-1] | [2, 1, 1, 2, 0] | [23, 8, 23, 17, 29]
Warming Incense | [-1,5,-1,-1,-1,1] | [0, 1, 1, 2, 0, 2] | [1.3, 0.9, 2.0, 2.5, 93.2]
#Warming Incense | [-1,6,-1,-1,-1,1] | [0, 1, 1, 2, 0, 2] | [0.1, 0.2, 1.8, 2.2, 95.7]
Calmwind Incense | [-1,-1,-1,2,1] | [3, 0, 1, 2, 0] | [77, 5, 8, 5, 5]
#Calmwind Incense | [4,4,1,2,1] | [3, 0, 1, 2, 0] | [60, 2, 7, 18, 13]
#Calmwind Incense | [4,4,1,3,1] | [3, 0, 1, 2, 0] | [38, 7, 8, 12, 35]
Calmwind Incense | [-1,5,-1,3,-1,1] | [0, 1, 1, 2, 0, 2] | [17.0, 9.2, 12.1, 20.8, 40.9]
#Calmwind Incense | [-1,6,-1,-1,-1,-1] | 
#Calmwind Incense | [5,-1,-1,-1,-1,-1] | 
#Calmwind Incense | [-1,-1,-1,-1,2,-1] | 

Illusion Potion | [4,-1,-1,-1] | [4, 1, 1, 2, 0] | [78, 7, 4, 7, 4]
#Illusion Potion | [4,4,1,3,1] | [4, 1, 1, 2, 0] | [60, 7, 7, 12, 14]
#Illusion Potion | [4,5,1,3,1] | [4, 1, 1, 2, 0] | [57, 7, 7, 12, 17]
Illusion Potion | [-1,-1,-1,-1,-1,1] | [0, 3, 1, 2, 0, 2] | [16.7, 7.3, 6.9, 16.9, 52.2]
#Illusion Potion | [5,6,-1,-1,2,-1] | [0, 3, 1, 2, 0, 2] | [9.2, 6.0, 5.9, 14.0, 64.9]
Soothing Tonic | [4,-1,-1,-1] | [4, 1, 1, 2, 0] | [74, 8, 12, 3, 2]
#Soothing Tonic | [4,4,1,3,1] | [4, 1, 1, 2, 0] | [51, 8, 21, 9, 11]
#Soothing Tonic | [4,5,1,3,1] | [4, 1, 1, 2, 0] | [47, 10, 21, 10, 13]
Soothing Tonic | [-1,-1,-1,-1,-1,1] | [0, 3, 1, 2, 0, 2] | [9.0, 7.9, 26.6, 15.8, 40.6]
#Soothing Tonic | [5,6,-1,-1,2,-1] | [0, 3, 1, 2, 0, 2] | [3.3, 4.0, 21.8, 16.1, 54.9]

#Fireward Ring | [-1,5,-1,-1,-1,1] | [2, 2, 1, 2, 0, 2] | [79.2, 7.1, 5.3, 6.0, 2.5]
Fireward Ring | [4,5,-1,-1,-1,1] | [4, 0, 1, 2, 0, 2] | [87.4, 3.4, 2.5, 3.4, 3.3]
Fireward Ring | [4,6,-1] | [1, 3, 1, 2, 0, 2] | [67.7, 10.9, 8.5, 9.4, 3.5] | Spend Marksteel x5000
Fireward Ring | [5,5] | [3, 1, 1, 2, 0, 2] | [77.7, 5.5, 4.5, 6.0, 6.4]
Fireward Ring | [5,6] | [2, 2, 1, 2, 0, 2] | [63.9, 8.6, 7.4, 10.6, 9.5]
#Fireward Ring | [-1,-1,-1,-1,2,-1] | 
